path_index,feature_values,feature_values_normalized,feature_outcomes_normalized,is_critical,is_maxima,is_minima,is_inflection,is_saddle,num_critical,num_maxima,num_minima,num_inflection,num_saddle,feature,fit,lambda,xlabel,ylabel,feature_friendly,feature_description,sensitivity,feature_outcomes,slope
298,511.20401338,-1.212824585,-0.322666893,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144976.89786,
298,528.24414716,-1.174299818,-0.319676886,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145213.4129,
298,528.24414716,-1.174299818,-0.319676886,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145213.4129,
298,545.28428094,-1.135775051,-0.316803285,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145440.72005,
298,545.28428094,-1.135775051,-0.316803285,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145440.72005,
298,562.32441472,-1.097250285,-0.313998353,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145662.5954,
298,562.32441472,-1.097250285,-0.313998353,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145662.5954,
298,579.36454849,-1.058725518,-0.3112171,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145882.59762,
298,579.36454849,-1.058725518,-0.3112171,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,145882.59762,
298,596.40468227,-1.020200751,-0.308436366,0,0,0,1,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146102.55888,
298,596.40468227,-1.020200751,-0.308436366,0,0,0,1,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146102.55888,
298,613.44481605,-0.981675984,-0.305643396,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146323.488,
298,613.44481605,-0.981675984,-0.305643396,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146323.488,
298,630.48494983,-0.943151218,-0.302825501,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146546.38871,
298,630.48494983,-0.943151218,-0.302825501,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,146546.38871,
